nom,id,frequences,status,mode,location
4525 kHz Buzzer Signabroam ID: P4525,P4525,4525 kHz,Inactive,USB (3 kHz),"Unknown, Europe"
Akula56 Callsigns: Akula56 Recipient: 7GAT Signabroam ID: P6995,P6995,"Active: 6890, 6923, 10245 Not always active: 5285, 6995, 8285 Inactive: 4633, 6859, 7855",Temporary Inactive untill July or August 2026,"USB, LSB (3.5 kHz)","Near Lille, France"
Dick Bulger Radio Signabroam ID: P6970,P6970,"6970, 27000-27500 (11m CB) kHz",Active,USB,"Boston/Out of Boston, Massachusetts, USA"
Mystery for Joy Signabroam ID: P4885,P4885,"3940, 5800, 5880, 6070, 9670 kHz (Formerly 4875, 4880, 4885, 4890, 4895 kHz)",Active,AM (5 kHz),"Operator: France Transmitter: Germany, Netherlands, United Kingdom"
Radio Argus Signabroam ID: P6290,P6290,6290 kHz,Active,AM (5 kHz),United Kingdom (UK)
Radio Augusta International Signabroam ID: P6140,P6140,6140 kHz,Active,AM (5 kHz),Netherlands (Via Radio Onda) Ivory Coast
Radio Mi Amigo International Signabroam ID: P1620,P1620,"1620, 5775, 6085 kHz",Active,AM (5 kHz),Netherlands
Radio Pamela Signabroam ID: P6935,P6935,6935 kHz,Active,AM (5 kHz),"North West, Ireland"
Radio ROJX AM Signabroam ID: P6210,P6210,"6210, 7680, 7510, 7265 kHz",Active,AM (6 kHz),France
Radio Starlight Signabroam ID: P6320,P6320,"6270, 6280, 6295, 6300, 6305, 6320 kHz",Active,AM (5 kHz),"West Coast, Netherlands"
Radio Stern Signabroam ID: P6930,P6930,6930 kHz,Active,USB,United States of America
Radio Wave International Signabroam ID: P6070,P6070,6070 kHz,Active,AM (5 kHz),Netherlands
Radio Zand Signabroam ID: P4695-1,P4695-1,4695 kHz,Inactive,USB (3 kHz),"Zandvoort, Netherlands"
The 45m Band Signabroam ID: P6660,P6660,6400-6765 kHz,Active,LSB (2-6 kHz),France / Germany / Belgium / Netherlands / Italy / Spain
"TsVEF Callsigns: TsVEF/TsVYeF, Yestreb31, Topol48, 6347I Signabroam ID: P4695",P4695,4695 kHz,Inactive,USB (3 kHz),Hungary
Zeppelin Radio Signabroam ID: P6860,P6860,"6292, 6860 kHz",Active,AM (5 kHz),Netherlands
