nom,id,frequences,status,mode,location
"596E Callsigns: 596E, ONG4 Signabroam ID: MO03",MO03,,Active,"OOK (1A1), CW","Sevastopol, Russia"
Arbat50 Callsigns: Arbat50 Signabroam ID: S5426,S5426,5426 kHz,Inactive,USB,Russia
"Baron78 Callsigns: Tros28, Baron78 Signabroam ID: S3850",S3850,"3850, 4940",Inactive,USB,Russia
Bereza2 Callsigns: Bereza2 Signabroam ID: S5182,S5182,5182 kHz,Inactive,USB,"336th Russian Radio technical regiment, Orel, Russia"
"Berkut24 Callsigns: Berkut24, ''' (Znack Znack Znack) Signabroam ID: 5210",5210,"3870, 5210",Active,USB,Russia
CEJX Callsigns: CEJX Signabroam ID: MO04,MO04,3633 kHz,Active,"OOK (1A1), CW",Russia
Davlenie,,"6685, 8847, 11360, 18030 kHz",Active,USB,"708th Regiment, Taganrog, Russia"
"Duplet16 Callsigns: Duplet16, Kalibr16 Signabroam ID: S4410",S4410,4410 kHz,Inactive,USB,Russia
Dynatron Communication Hub Callsigns: Unknown Signabroam ID: U214,U214,Unknown,Unknown,USB,"Dynatron Communication Hub, Borisoglebsk, Russia"
"FGKT Callsigns: FGKT, 'GOR (ьГОР), 6NP4, TsJGZh Signabroam ID: S6970",S6970,"5400, 6970",Active,USB,"69th Communication Hub, Naro-Fominsk, Russia"
Goretz81 Callsigns: Goretz81 Signabroam ID: S4840,S4840,4840 kHz,Inactive,USB,Russia
"IQ4O Callsigns: IQ4O, WTVL Signabroam ID: MO05",MO05,,Unknown,"OOK (1A1), CW",Russia
"KUFI Callsigns: KUFI, RMP, REO, SML, BXGR, 8FE7, JGP3, AWRC, NZC4, TOD3, U352, DHGE, OASK, 5TID, NLJB, R5DG, H2C1, NJLD, RCJS, G3H1, 2CJX, ETTZ Signabroam ID: MO06",MO06,,Unknown,"OOK (1A1), CW","Kalingrad, Russia"
Kasta,,"6685, 8847, 11360, 18030 kHz",Active,USB,"224th Detachment, Tver, Russia"
Katok65 Callsigns: Katok65 Signabroam ID: S4224,S4224,"3218.5, 4224",Inactive,USB,Russia
Kerro Pip Callsigns: N/A Signabroam ID: U6218,U6218,"4625, 5780, 5838, 5838.5, 6180, 6218, 6230, 6322, 6330, 6402, 6700, 6930, 8800, 8900, 9041, 13150, 16480",Inactive,USB,"60th Communications Hub, Kerro, Russia"
Klarnetist,,"6685, 8847, 11360, 18030 kHz",Active,USB,"196th Regiment, Tver, Russia"
Korsar,,"6685, 8847, 11360, 18030 kHz",Active,USB,"Military transport Aviation Headquarters (VTA), Moscow, Russia"
Kroket21 Callsigns: Kroket21 Signabroam ID: S4770,S4770,4770,Active,USB,"Smolensk, Russia"
LA8K Callsigns: LA8K Signabroam ID: MO07,MO07,,Unknown,"OOK (1A1), CW",Russia
LRA Air Force,MO01,8112 (Ground) 8990 (Air) 11318 (Ground),,,
Lad'ya,,"6685, 8847, 11360, 18030 kHz",Active,USB,"Unknown, Russia"
MDV Callsigns: MDV Signabroam ID: MO08,MO08,5095 kHz,Unknown,"OOK (1A1), CW",Russia
Magnetron,,"6685, 8847, 11360, 18030 kHz",Active,USB,"566 Regiment, Seshcha, Russia"
"Main Call: Pikhta26, Taras20 Recipient calls: Oblava12, Barkhta19, Narval92, etc. Signabroam ID: S4619",S4619,,Active,USB (3.5 kHz Bandwidth),"Eastern Far District, Russia"
Mikron79 Callsigns: Mikron79 Signabroam ID: S4574,S4574,4574 kHz,Inactive,USB,Russia
Military unit 03394 Callsigns: Unknown Signabroam ID: U03394,U03394,Unknown,Unknown,USB,"Unit 03394 Communication Hub/Node, Russia"
Military unit 14108 Callsigns: Unknown Signabroam ID: U14108,U14108,Unknown,Unknown,USB,"Unit 14108 Communication Hub, Saint Petersburg, Russia"
Military unit 3027 Callsigns: Unknown Signabroam ID: U3027,U3027,Unknown,Unknown,USB,"Unit 3027 BARS, Russia"
Military unit 34017 Callsigns: Unknown Signabroam ID: U34017,U34017,Unknown,Unknown,USB,"Unit 34017 Guards communications center, Postavy, Russia"
Military unit 43431 Callsigns: Unknown Signabroam ID: U43431,U43431,Unknown,Unknown,USB,"Unit 43431 Comet (""Комета"") Communication Node, Russia"
Military unit 52015 Callsigns: Unknown Signabroam ID: U52015,U52015,Unknown,Unknown,USB,"Unit 52015 Communication Node, Parin, Komsomolsk-Na-Amure, Russia"
Military unit 52478 Callsigns: Unknown Signabroam ID: U52478,U52478,Unknown,Disbanded (September 2003 - December 2009),USB,"55th separate operational and technical commandant's office of the Space Forces Headquarters, Krasnogorsk, Pavshino village, Moscow region, Russia"
Military unit 5583 Callsigns: Unknown Signabroam ID: U5583,U5583,Unknown,Unknown (Supposely Active),USB,"Unit 5583 Stationary Communication Hub BSKP, Moscow, Russia"
Military unit 56202 / 40129-P Callsigns: Unknown Signabroam ID: U56202 / U40129-P,U56202 / U40129-P,Unknown,Unknown,USB,"134th Separate Guards, Orsha, Belarus (serving on Russian Federation and Russian Baltic Fleet)"
Military unit 59802 Callsigns: Unknown Signabroam ID: U59802,U59802,Unknown,Unknown,USB,"Unit 59802 14th Field Communication Hub, Levoberezhnaya st., Moscow, Russia"
Military unit 73570 / 03353 Callsigns: Unknown Signabroam ID: U73570 / U03353,U73570 / U03353,Unknown,Unknown,USB,"RKO Facilities, Krasnogorsk, Pavshino village, Moscow region, Russia"
Military unit 77073 Callsigns: Unknown Signabroam ID: U77073,U77073,Unknown,Unknown,USB,"Unit 77073 65th Gards Separate Communication Node, Vladimir, Russia"
Military unit 83320 Callsigns: Unknown Signabroam ID: U83320,U83320,Unknown,Unknown (Supposely Active),USB,"Unit 83320 69th Communication Hub, Naro-Fominsk, Russia"
Military unit 95043 Callsigns: Unknown Signabroam ID: U95043,U95043,Unknown,Unknown,USB,"Unit 95043 ""SKODA???"" 504th Command Post & Communication Hub, Kalingrad, Russia"
